,phonemes,overlap / correlation
221,"['θ', 'n']",0.32
222,"['θ', 'ŋ']",-0.11
223,"['θ', 'r']",-0.52
224,"['θ', 'l']",0.42
225,"['θ', 'i']",0.08
226,"['θ', 'ē']",0.01
227,"['θ', 'ɛ']",-0.09
228,"['θ', 'æ']",-0.17
229,"['θ', 'ā']",-0.43
230,"['θ', 'ɔ']",-0.43
231,"['θ', 'o']",-0.33
232,"['θ', 'u']",-0.28
233,"['θ', 'ʌ']",-0.25
234,"['ð', 's']",0.27
235,"['ð', 'z']",0.27
236,"['ð', 'h']",0.22
237,"['ð', 'š']",0.97
238,"['ð', 'ž']",0.31
239,"['ð', 'č']",0.25
240,"['ð', 'ǰ']",0.43
241,"['ð', 'm']",0.77
242,"['ð', 'n']",-0.08
243,"['ð', 'ŋ']",-0.14
244,"['ð', 'r']",-0.1
245,"['ð', 'l']",0.3
246,"['ð', 'i']",0.2
247,"['ð', 'ē']",0.37
248,"['ð', 'ɛ']",0.47
249,"['ð', 'æ']",0.32
250,"['ð', 'ā']",0.32
251,"['ð', 'ɔ']",0.32
252,"['ð', 'o']",0.27
253,"['ð', 'u']",0.26
254,"['ð', 'ʌ']",0.54
255,"['s', 'z']",0.94
256,"['s', 'h']",0.01
257,"['s', 'š']",0.24
258,"['s', 'ž']",0.79
259,"['s', 'č']",0.79
260,"['s', 'ǰ']",0.69
261,"['s', 'm']",-0.26
262,"['s', 'n']",0.45
263,"['s', 'ŋ']",-0.16
264,"['s', 'r']",-0.58
265,"['s', 'l']",0.52
266,"['s', 'i']",0.08
267,"['s', 'ē']",-0.14
268,"['s', 'ɛ']",-0.23
269,"['s', 'æ']",-0.33
270,"['s', 'ā']",-0.54
271,"['s', 'ɔ']",-0.54
272,"['s', 'o']",-0.46
273,"['s', 'u']",-0.32
274,"['s', 'ʌ']",-0.4
275,"['z', 'h']",0.07
276,"['z', 'š']",0.18
277,"['z', 'ž']",0.88
278,"['z', 'č']",0.73
279,"['z', 'ǰ']",0.75
280,"['z', 'm']",-0.25
281,"['z', 'n']",0.59
282,"['z', 'ŋ']",0.0
283,"['z', 'r']",-0.45
284,"['z', 'l']",0.7
285,"['z', 'i']",0.27
286,"['z', 'ē']",0.04
287,"['z', 'ɛ']",0.0
288,"['z', 'æ']",-0.21
289,"['z', 'ā']",-0.39
290,"['z', 'ɔ']",-0.39
291,"['z', 'o']",-0.34
292,"['z', 'u']",-0.2
293,"['z', 'ʌ']",-0.19
294,"['h', 'š']",0.24
295,"['h', 'ž']",0.33
296,"['h', 'č']",0.27
297,"['h', 'ǰ']",0.37
298,"['h', 'm']",-0.06
299,"['h', 'n']",-0.21
300,"['h', 'ŋ']",0.14
301,"['h', 'r']",0.46
302,"['h', 'l']",-0.2
303,"['h', 'i']",-0.28
304,"['h', 'ē']",-0.19
305,"['h', 'ɛ']",-0.0
306,"['h', 'æ']",0.21
307,"['h', 'ā']",0.47
308,"['h', 'ɔ']",-0.06
309,"['h', 'o']",-0.22
310,"['h', 'u']",-0.28
311,"['h', 'ʌ']",0.12
312,"['š', 'ž']",0.25
313,"['š', 'č']",0.28
314,"['š', 'ǰ']",0.39
315,"['š', 'm']",0.78
316,"['š', 'n']",-0.19
317,"['š', 'ŋ']",-0.18
318,"['š', 'r']",-0.12
319,"['š', 'l']",0.14
320,"['š', 'i']",0.09
321,"['š', 'ē']",0.26
322,"['š', 'ɛ']",0.31
323,"['š', 'æ']",0.25
324,"['š', 'ā']",0.27
325,"['š', 'ɔ']",0.27
326,"['š', 'o']",0.24
327,"['š', 'u']",0.25
328,"['š', 'ʌ']",0.45
329,"['ž', 'č']",0.82
330,"['ž', 'ǰ']",0.9
331,"['ž', 'm']",-0.17
332,"['ž', 'n']",0.47
333,"['ž', 'ŋ']",0.26
334,"['ž', 'r']",-0.29
335,"['ž', 'l']",0.5
336,"['ž', 'i']",0.28
337,"['ž', 'ē']",0.12
338,"['ž', 'ɛ']",0.0
339,"['ž', 'æ']",-0.13
340,"['ž', 'ā']",-0.3
341,"['ž', 'ɔ']",-0.3
342,"['ž', 'o']",-0.18
343,"['ž', 'u']",-0.09
344,"['ž', 'ʌ']",-0.08
345,"['č', 'ǰ']",0.91
346,"['č', 'm']",-0.14
347,"['č', 'n']",0.38
348,"['č', 'ŋ']",0.22
349,"['č', 'r']",-0.53
350,"['č', 'l']",0.1
351,"['č', 'i']",0.06
352,"['č', 'ē']",-0.21
353,"['č', 'ɛ']",-0.34
354,"['č', 'æ']",-0.38
355,"['č', 'ā']",-0.52
356,"['č', 'ɔ']",-0.52
357,"['č', 'o']",-0.41
358,"['č', 'u']",-0.21
359,"['č', 'ʌ']",-0.37
360,"['ǰ', 'm']",0.06
361,"['ǰ', 'n']",0.46
362,"['ǰ', 'ŋ']",0.37
363,"['ǰ', 'r']",-0.36
364,"['ǰ', 'l']",0.29
365,"['ǰ', 'i']",0.29
366,"['ǰ', 'ē']",0.06
367,"['ǰ', 'ɛ']",-0.0
368,"['ǰ', 'æ']",-0.17
369,"['ǰ', 'ā']",-0.25
370,"['ǰ', 'ɔ']",-0.25
371,"['ǰ', 'o']",-0.19
372,"['ǰ', 'u']",-0.0
373,"['ǰ', 'ʌ']",-0.01
374,"['m', 'n']",-0.21
375,"['m', 'ŋ']",0.02
376,"['m', 'r']",0.05
377,"['m', 'l']",-0.01
378,"['m', 'i']",0.14
379,"['m', 'ē']",0.34
380,"['m', 'ɛ']",0.53
381,"['m', 'æ']",0.19
382,"['m', 'ā']",0.37
383,"['m', 'ɔ']",0.65
384,"['m', 'o']",0.51
385,"['m', 'u']",0.51
386,"['m', 'ʌ']",0.71
387,"['n', 'ŋ']",0.6
388,"['n', 'r']",-0.35
389,"['n', 'l']",0.67
390,"['n', 'i']",0.61
391,"['n', 'ē']",0.25
392,"['n', 'ɛ']",0.32
393,"['n', 'æ']",-0.08
394,"['n', 'ā']",-0.16
395,"['n', 'ɔ']",-0.16
396,"['n', 'o']",-0.17
397,"['n', 'u']",0.02
398,"['n', 'ʌ']",0.11
399,"['ŋ', 'r']",0.06
400,"['ŋ', 'l']",0.1
401,"['ŋ', 'i']",0.52
402,"['ŋ', 'ē']",0.36
403,"['ŋ', 'ɛ']",0.33
404,"['ŋ', 'æ']",0.11
405,"['ŋ', 'ā']",0.14
406,"['ŋ', 'ɔ']",0.14
407,"['ŋ', 'o']",0.19
408,"['ŋ', 'u']",0.28
409,"['ŋ', 'ʌ']",0.37
410,"['r', 'l']",-0.16
411,"['r', 'i']",-0.21
412,"['r', 'ē']",0.05
413,"['r', 'ɛ']",0.31
414,"['r', 'æ']",0.34
415,"['r', 'ā']",0.65
416,"['r', 'ɔ']",0.65
417,"['r', 'o']",0.42
418,"['r', 'u']",0.26
419,"['r', 'ʌ']",0.41
420,"['l', 'i']",0.61
421,"['l', 'ē']",0.52
422,"['l', 'ɛ']",0.57
423,"['l', 'æ']",0.24
424,"['l', 'ā']",0.08
425,"['l', 'ɔ']",0.08
426,"['l', 'o']",0.1
427,"['l', 'u']",0.13
428,"['l', 'ʌ']",0.36
429,"['i', 'ē']",0.85
430,"['i', 'ɛ']",0.54
431,"['i', 'æ']",0.54
432,"['i', 'ā']",0.18
433,"['i', 'ɔ']",0.18
434,"['i', 'o']",0.49
435,"['i', 'u']",0.6
436,"['i', 'ʌ']",0.47
437,"['ē', 'ɛ']",0.72
438,"['ē', 'æ']",0.78
439,"['ē', 'ā']",0.41
440,"['ē', 'ɔ']",0.41
441,"['ē', 'o']",0.71
442,"['ē', 'u']",0.6
443,"['ē', 'ʌ']",0.66
444,"['ɛ', 'æ']",0.57
445,"['ɛ', 'ā']",0.66
446,"['ɛ', 'ɔ']",0.66
447,"['ɛ', 'o']",0.48
448,"['ɛ', 'u']",0.38
449,"['ɛ', 'ʌ']",0.9
450,"['æ', 'ā']",0.76
451,"['æ', 'ɔ']",0.3
452,"['æ', 'o']",0.52
453,"['æ', 'u']",0.36
454,"['æ', 'ʌ']",0.58
455,"['ā', 'ɔ']",0.53
456,"['ā', 'o']",0.36
457,"['ā', 'u']",0.24
458,"['ā', 'ʌ']",0.77
459,"['ɔ', 'o']",0.8
460,"['ɔ', 'u']",0.73
461,"['ɔ', 'ʌ']",0.77
462,"['o', 'u']",0.91
463,"['o', 'ʌ']",0.61
464,"['u', 'ʌ']",0.55
